Date;Open;High;Low;Close;Volume
19.03.75;746100;746300;745400;746100;0
20.03.75;745700;745700;741900;742400;0
21.03.75;743400;743900;742400;742500;0
24.03.75;743700;745700;742100;742800;0
25.03.75;744100;744100;742600;743100;0
26.03.75;743400;745100;743400;745000;0
27.03.75;744700;744900;742300;742900;0
31.03.75;742400;744200;742400;744000;0
01.04.75;743900;744000;743000;743600;0
02.04.75;744200;744200;742600;742700;0
03.04.75;742200;742200;741300;741800;0
04.04.75;740300;740700;738400;739000;0
07.04.75;741400;741400;738100;739300;0
08.04.75;740900;740900;739100;739700;0
09.04.75;739300;740000;739000;740000;0
10.04.75;738900;738900;738300;738600;0
11.04.75;738300;738400;737900;738400;0
14.04.75;736700;736800;731700;731700;0
15.04.75;728900;730500;728900;730500;0
16.04.75;733100;733100;732100;732600;0
17.04.75;733400;735100;733400;735000;0
18.04.75;736900;736900;734800;734800;0
21.04.75;731800;732200;730700;731500;0
22.04.75;730900;733800;730800;732500;0
23.04.75;732700;735300;731600;734600;0
24.04.75;734300;734300;732300;732800;0
25.04.75;732300;733000;731800;732600;0
28.04.75;732200;733500;732100;732100;0
29.04.75;733300;734200;733100;733600;0
30.04.75;733100;733800;732300;732600;0
01.05.75;732800;732800;731300;731300;0
02.05.75;731800;732300;730800;730800;0
05.05.75;730000;730000;729200;729300;0
06.05.75;730300;730700;729900;730700;0
07.05.75;730900;732300;730900;731900;0
08.05.75;732200;733100;732200;733100;0
09.05.75;732500;732500;731700;732400;0
12.05.75;731800;731800;731400;731700;0
13.05.75;732300;732600;731800;732500;0
14.05.75;733200;737100;732800;735100;0
15.05.75;732300;732500;731500;731700;0
16.05.75;732300;734300;732000;732700;0
19.05.75;733400;735200;733400;733500;0
20.05.75;733000;734300;733000;734000;0
21.05.75;734500;738600;734500;738000;0
22.05.75;741500;742700;739100;739300;0
23.05.75;740600;741000;739100;740500;0
27.05.75;739300;739400;737800;737800;0
28.05.75;738000;738200;735400;735800;0
29.05.75;735600;735600;732700;733400;0
30.05.75;733100;733100;731800;732300;0
02.06.75;727300;728700;726800;728700;0
03.06.75;730800;731500;730200;731400;0
04.06.75;731600;731600;729900;730000;0
05.06.75;730200;732000;730200;731500;0
06.06.75;731800;731800;731400;731400;0
09.06.75;731400;732400;731400;732400;0
10.06.75;731600;731600;731200;731200;0
11.06.75;730800;731000;730600;731000;0
12.06.75;730800;731600;730500;730500;0
13.06.75;730800;730800;730000;730000;0
16.06.75;730100;730100;728500;728500;0
17.06.75;728800;730400;728800;730400;0
18.06.75;730200;730200;729600;729700;0
19.06.75;728900;732800;727700;728600;0
20.06.75;728200;728800;728200;728600;0
23.06.75;728100;728300;727600;727800;0
24.06.75;727800;729000;727700;728800;0
25.06.75;729300;730700;729300;730600;0
26.06.75;729900;730500;729500;730300;0
27.06.75;730000;739300;730000;732200;0
30.06.75;732700;737600;724300;732100;0
01.07.75;732600;734200;731400;732400;0
02.07.75;730800;731500;730400;730600;0
03.07.75;730300;730800;729600;730700;0
07.07.75;729800;730100;727900;728300;0
08.07.75;728600;731400;728600;731000;0
09.07.75;731800;732000;726300;731200;0
10.07.75;730200;730200;728900;729600;0
11.07.75;730100;731700;730100;731700;0
14.07.75;732100;732600;730800;731300;0
15.07.75;730500;730800;730100;730200;0
16.07.75;729600;730000;729300;729600;0
17.07.75;729800;730100;728900;729600;0
18.07.75;728700;730300;728300;729700;0
21.07.75;728500;730000;728400;729400;0
22.07.75;730700;731100;725700;730700;0
23.07.75;729500;729900;729000;729800;0
24.07.75;730100;730600;729800;730300;0
25.07.75;730500;732200;730400;732200;0
28.07.75;731400;734400;731400;734100;0
29.07.75;734700;735100;731900;732000;0
30.07.75;733100;733300;731600;732200;0
31.07.75;732200;732400;731400;731900;0
01.08.75;731900;732300;731800;732000;0
04.08.75;732000;732600;731900;731900;0
05.08.75;731800;731800;730600;730600;0
06.08.75;730300;730700;729600;730100;0
07.08.75;730900;730900;730200;730400;0
08.08.75;729900;729900;724300;726100;0
11.08.75;724400;727300;724400;726400;0
12.08.75;726800;728800;726800;727900;0
13.08.75;727600;727600;724700;724800;0
14.08.75;725800;725800;723300;723900;0
15.08.75;725700;726800;725700;726800;0
18.08.75;728600;728600;726100;726200;0
19.08.75;726300;726300;725500;726200;0
20.08.75;727000;727800;726500;727000;0
21.08.75;726500;726700;725600;726300;0
22.08.75;726600;726700;725800;725800;0
25.08.75;725900;726300;725700;726000;0
26.08.75;726100;726500;725300;725900;0
27.08.75;725600;726300;724800;726300;0
28.08.75;726300;726800;725300;725500;0
29.08.75;725500;727000;722500;722800;0
02.09.75;712800;713300;712800;712800;0
03.09.75;711000;714400;710800;713700;0
04.09.75;715800;716300;714800;715200;0
05.09.75;715600;716000;715400;716000;0
08.09.75;715400;715400;712800;713000;0
09.09.75;708000;711900;708000;711800;0
10.09.75;712900;713200;710300;710400;0
11.09.75;709500;710200;708500;709600;0
12.09.75;709600;710200;709500;709700;0
15.09.75;710000;710200;709800;710000;0
16.09.75;709100;709400;707500;707700;0
17.09.75;705000;705500;703000;704300;0
18.09.75;703200;703200;696700;697800;0
19.09.75;695400;701200;695000;698400;0
22.09.75;699000;699100;693800;694800;0
23.09.75;689100;692100;689000;691200;0
24.09.75;695800;697500;694200;697500;0
25.09.75;695800;697800;695400;697000;0
26.09.75;696100;699300;696100;699000;0
29.09.75;698200;701300;698200;699800;0
30.09.75;701500;703900;701500;702200;0
01.10.75;705000;705800;703600;704200;0
02.10.75;705000;706200;702500;703400;0
03.10.75;700700;701500;698900;699900;0
06.10.75;699400;702700;699200;702600;0
07.10.75;703800;704700;703300;703700;0
08.10.75;701600;701700;698500;699600;0
09.10.75;701200;701700;700200;701700;0
10.10.75;702300;704000;702200;703600;0
14.10.75;702200;703300;700700;702900;0
15.10.75;704000;704500;702500;702900;0
16.10.75;704700;705500;703800;704000;0
17.10.75;706000;707400;705700;706100;0
20.10.75;706400;706800;705500;706800;0
21.10.75;707900;708000;704600;705200;0
22.10.75;705600;706600;704800;706500;0
23.10.75;705900;705900;703900;705100;0
24.10.75;704000;705000;703500;704100;0
27.10.75;703500;703600;702700;703000;0
28.10.75;702800;703400;702000;703300;0
29.10.75;703000;704300;702500;704100;0
30.10.75;705000;705000;703500;703600;0
31.10.75;703300;703300;702300;702800;0
03.11.75;703500;703700;702300;703300;0
05.11.75;705300;709100;705200;708400;0
06.11.75;707400;707600;706000;706000;0
07.11.75;705200;706300;704600;706100;0
10.11.75;704500;705300;704500;704700;0
12.11.75;703500;704500;703500;704000;0
13.11.75;704200;704400;702800;702900;0
14.11.75;703300;703300;701000;701600;0
17.11.75;701800;702000;699100;699300;0
18.11.75;700300;700400;698100;700300;0
19.11.75;701900;703000;701100;702900;0
20.11.75;702000;702900;701800;701800;0
21.11.75;701800;701800;700600;701100;0
24.11.75;700800;701300;700000;701300;0
25.11.75;701300;701800;700300;700300;0
26.11.75;700500;700500;699500;699600;0
28.11.75;697300;697900;696800;697300;0
01.12.75;697300;697400;696500;697000;0
02.12.75;697900;699100;697800;698800;0
03.12.75;699300;699300;698000;698000;0
04.12.75;699000;699200;698100;698100;0
05.12.75;697400;697800;697200;697800;0
08.12.75;696800;697000;696000;696100;0
09.12.75;696800;697600;696800;697600;0
10.12.75;698100;699700;698100;699400;0
11.12.75;700100;700400;699400;699400;0
12.12.75;698300;698600;698000;698400;0
15.12.75;697900;698000;697500;697600;0
16.12.75;698300;698600;698300;698300;0
17.12.75;698500;698900;698500;698600;0
18.12.75;699100;699300;697600;698500;0
19.12.75;698500;707300;698500;705500;0
22.12.75;703300;705100;703100;703100;0
23.12.75;701900;702400;700800;701300;0
24.12.75;700800;701500;700800;701100;0
29.12.75;701800;702400;701100;701300;0
30.12.75;701000;701500;700600;701200;0
31.12.75;700700;700800;700200;700400;0
02.01.76;700200;700900;700000;700600;0
05.01.76;698900;699600;698100;699000;0
06.01.76;698700;699900;698700;699500;0
07.01.76;698600;699000;698300;698800;0
08.01.76;696600;696700;694900;695500;0
09.01.76;696400;696700;695900;696300;0
12.01.76;696400;696700;696200;696300;0
13.01.76;693400;693400;690800;691400;0
14.01.76;690100;692400;690000;692400;0
15.01.76;692100;692900;690700;690900;0
16.01.76;689900;690800;689400;690400;0
19.01.76;689500;689500;687000;687000;0
20.01.76;685400;685700;682800;683500;0
21.01.76;684000;685300;682800;683100;0
22.01.76;684700;686200;683700;684900;0
23.01.76;688400;689000;687000;687300;0
26.01.76;685700;686200;684200;684900;0
27.01.76;685500;685700;685000;685300;0
28.01.76;687100;687600;686500;687600;0
29.01.76;688900;688900;687200;687500;0
30.01.76;687000;687600;686900;687600;0
02.02.76;689100;689900;689100;689900;0
03.02.76;691800;691800;689700;689700;0
04.02.76;688600;689000;688100;688100;0
05.02.76;687400;688100;687400;688000;0
06.02.76;688900;690000;688900;690000;0
09.02.76;689500;689600;689200;689200;0
10.02.76;687900;690500;687900;689600;0
11.02.76;691600;691600;689100;689100;0
12.02.76;689500;690300;689500;689500;0
13.02.76;689800;690100;689800;690100;0
17.02.76;688400;689200;688400;689100;0
18.02.76;690200;690300;689300;689400;0
19.02.76;689700;690100;689300;689600;0
20.02.76;690100;690900;690000;690700;0
23.02.76;690300;690700;690200;690600;0
24.02.76;691600;693300;691400;693300;0
25.02.76;693700;693800;692600;692700;0
26.02.76;691700;691800;691200;691500;0
27.02.76;691500;692300;691200;691700;0
01.03.76;691600;691600;691000;691400;0
02.03.76;690600;691100;690500;690900;0
03.03.76;692000;692100;691200;691300;0
04.03.76;691600;692500;691600;692300;0
05.03.76;693300;694100;691700;693600;0
08.03.76;692400;692800;692200;692600;0
09.03.76;692200;693200;692200;692800;0
10.03.76;693100;693800;693100;693300;0
11.03.76;693300;693400;692700;692900;0
12.03.76;692800;693000;692600;692600;0
15.03.76;693100;693700;692500;692600;0
16.03.76;692800;692800;691900;692400;0
17.03.76;692400;693600;692400;693500;0
18.03.76;694100;694400;693200;693400;0
19.03.76;693100;694100;693100;693900;0
22.03.76;693300;693500;693100;693300;0
23.03.76;692400;693000;692400;693000;0
24.03.76;693000;693600;692500;692500;0
25.03.76;691800;692600;691800;692200;0
26.03.76;691600;691600;688300;688300;0
29.03.76;688900;688900;686600;687200;0
30.03.76;686400;688800;686400;688600;0
31.03.76;688400;688700;687900;688200;0
01.04.76;688100;688300;687300;688100;0
02.04.76;687600;688800;687600;688800;0
05.04.76;686600;686800;686000;686700;0
06.04.76;687100;687800;687000;687200;0
07.04.76;686300;687600;686300;686700;0
08.04.76;687300;688500;687300;688100;0
09.04.76;686600;686900;685900;686200;0
12.04.76;685600;689800;685600;687200;0
13.04.76;687200;687700;687100;687100;0
14.04.76;686500;687200;686500;686700;0
15.04.76;686700;690000;686600;686700;0
19.04.76;686300;687500;686300;687500;0
20.04.76;687400;687700;687200;687300;0
21.04.76;686300;686800;686000;686200;0
22.04.76;686200;686700;686100;686300;0
23.04.76;686100;686600;686100;686300;0
26.04.76;686600;687200;686600;687000;0
27.04.76;687400;688500;687400;687600;0
28.04.76;688600;688600;686800;686900;0
29.04.76;686700;687400;686700;686900;0
30.04.76;687100;687700;687100;687300;0
03.05.76;686900;687400;686900;687300;0
04.05.76;686900;687000;686400;686600;0
05.05.76;686400;687000;685900;686700;0
06.05.76;686000;688200;685100;687800;0
07.05.76;687300;687400;686900;687400;0
10.05.76;687400;687900;687000;687100;0
11.05.76;686800;687000;686600;687000;0
12.05.76;687000;687200;686800;686900;0
13.05.76;686600;686800;686500;686600;0
14.05.76;686600;686700;686400;686600;0
17.05.76;686600;686700;686500;686500;0
18.05.76;686300;686400;686200;686200;0
19.05.76;685800;685900;684400;684400;0
20.05.76;684500;684900;684100;684500;0
21.05.76;684700;684900;684600;684600;0
24.05.76;684200;684400;683200;683900;0
25.05.76;683000;683500;682500;683300;0
26.05.76;683600;685600;683500;685300;0
27.05.76;685400;685500;684800;685200;0
28.05.76;684200;684900;684000;684400;0
01.06.76;684500;687200;684500;686500;0
02.06.76;686400;688300;685600;688300;0
03.06.76;686200;686600;686000;686500;0
04.06.76;685800;685900;685300;685300;0
07.06.76;685300;686700;685300;686200;0
08.06.76;686900;686900;685500;685500;0
09.06.76;685600;685800;685300;685300;0
10.06.76;685400;685600;685100;685100;0
11.06.76;684700;684700;683600;684200;0
14.06.76;684300;684500;684300;684500;0
15.06.76;684100;684700;684100;684500;0
16.06.76;683400;684000;683400;683900;0
17.06.76;683400;684700;683400;684500;0
18.06.76;683900;684900;683900;684600;0
21.06.76;684200;684700;684200;684600;0
22.06.76;684200;684400;683400;683400;0
23.06.76;683000;683100;682600;683000;0
24.06.76;683100;683200;682400;683100;0
25.06.76;683100;683500;682800;682900;0
28.06.76;683100;683100;681100;681400;0
29.06.76;681800;681800;681400;681600;0
30.06.76;681900;682200;680900;681300;0
01.07.76;681000;681000;680500;681000;0
02.07.76;680900;681900;680900;681500;0
06.07.76;681100;681900;681100;681600;0
07.07.76;681400;681500;681200;681300;0
08.07.76;680800;681500;680800;681100;0
09.07.76;680600;680600;680200;680200;0
12.07.76;679800;679800;679300;679600;0
13.07.76;679900;680500;679700;680400;0
14.07.76;680400;680600;680200;680500;0
15.07.76;679500;679600;674900;674900;0
16.07.76;675400;676300;673800;675300;0
19.07.76;669900;671700;669900;670000;0
20.07.76;662900;666500;662400;666300;0
21.07.76;669400;670600;669400;670200;0
22.07.76;669200;669200;668200;668400;0
23.07.76;667700;668600;667700;668600;0
26.07.76;668600;670000;668600;669500;0
27.07.76;671700;672300;670500;670500;0
28.07.76;671600;671900;668900;670300;0
29.07.76;672900;672900;668400;668800;0
30.07.76;669400;669800;669100;669500;0
02.08.76;668600;669000;668500;668800;0
03.08.76;668400;669600;668400;669600;0
04.08.76;670100;670900;670100;670100;0
05.08.76;669400;669500;669100;669100;0
06.08.76;669400;669800;669400;669800;0
09.08.76;669400;669800;669400;669800;0
10.08.76;671400;671400;670900;671100;0
11.08.76;671400;671400;670900;670900;0
12.08.76;670400;670400;670200;670300;0
13.08.76;670100;670700;670000;670700;0
16.08.76;670400;670600;670400;670400;0
17.08.76;669900;670000;668600;668600;0
18.08.76;666400;666400;664400;665200;0
19.08.76;665400;666400;665400;665600;0
20.08.76;665200;665800;664900;665300;0
23.08.76;662700;663200;661000;661200;0
24.08.76;661200;661600;660000;660100;0
25.08.76;658200;662900;656700;662800;0
26.08.76;662200;662400;661100;661600;0
27.08.76;661400;661400;659500;659800;0
30.08.76;658700;659500;658300;659400;0
31.08.76;659200;661600;658900;659800;0
01.09.76;661000;662400;660800;662100;0
02.09.76;662700;663200;662000;662100;0
03.09.76;663100;664800;663100;664700;0
07.09.76;670200;670700;667000;668500;0
08.09.76;668700;669200;667900;669100;0
09.09.76;669400;670800;668500;670600;0
10.09.76;672700;675600;672300;675100;0
13.09.76;670700;672400;670700;671400;0
14.09.76;669000;669600;667400;667500;0
15.09.76;667000;670700;666700;669000;0
16.09.76;672200;672500;670400;670700;0
17.09.76;676700;677700;674000;674200;0
20.09.76;672200;672400;671500;671700;0
21.09.76;675500;677200;675000;675800;0
22.09.76;675600;675600;673300;675200;0
23.09.76;674400;675400;673500;674500;0
24.09.76;675700;676200;674700;675300;0
27.09.76;675900;675900;674200;674400;0
28.09.76;673200;673600;672100;672900;0
29.09.76;672900;673200;672200;672800;0
30.09.76;672800;672900;671700;672800;0
01.10.76;672500;672900;672400;672700;0
04.10.76;670700;671500;669600;670900;0
05.10.76;670700;671700;670600;671200;0
06.10.76;671400;673500;671400;673300;0
07.10.76;672800;672800;672200;672200;0
08.10.76;671200;671200;670200;670700;0
11.10.76;670500;671600;670100;671300;0
12.10.76;671900;671900;671200;671400;0
13.10.76;671300;672000;671200;671700;0
14.10.76;671800;671900;671300;671600;0
15.10.76;671700;673900;671700;673700;0
18.10.76;673400;674000;673200;673600;0
19.10.76;672400;672600;672000;672000;0
20.10.76;671900;672000;671600;671600;0
21.10.76;672400;673300;672300;673000;0
22.10.76;672500;672700;672400;672500;0
25.10.76;672600;673800;672500;673600;0
26.10.76;674300;675300;674200;675100;0
27.10.76;674500;677200;674400;676700;0
28.10.76;680500;682700;679800;682500;0
29.10.76;680200;681800;679900;680500;0
01.11.76;679500;680600;679500;680400;0
03.11.76;682600;683800;681800;681900;0
04.11.76;681700;683000;681000;682700;0
05.11.76;683600;684900;683600;684700;0
08.11.76;689000;689800;688400;689700;0
09.11.76;687500;691000;687300;689900;0
10.11.76;693200;694400;692800;693800;0
11.11.76;691900;693600;690500;692500;0
12.11.76;692900;693900;692700;693600;0
15.11.76;696200;697700;692200;692600;0
16.11.76;690900;692000;689700;690000;0
17.11.76;688700;690900;688200;688500;0
18.11.76;685700;686800;684700;685300;0
19.11.76;687700;688600;686900;687500;0
22.11.76;690500;691900;690300;691800;0
23.11.76;690700;691100;688800;689100;0
24.11.76;687300;689400;686300;689200;0
26.11.76;687400;688000;685700;686400;0
29.11.76;685900;687100;685000;686900;0
30.11.76;686900;688400;686900;688200;0
01.12.76;687600;688500;687200;688100;0
02.12.76;689100;689100;687700;688100;0
03.12.76;687900;689700;687900;689400;0
06.12.76;691700;692800;691200;692200;0
07.12.76;692700;692700;690300;690700;0
08.12.76;692700;694100;692700;694000;0
09.12.76;693100;695100;693100;694700;0
10.12.76;694200;695400;694200;695000;0
13.12.76;692700;692700;692100;692500;0
14.12.76;691900;693100;691600;693100;0
15.12.76;692300;692300;689200;689200;0
16.12.76;690200;691700;690200;690900;0
17.12.76;689700;689700;687800;688000;0
20.12.76;688500;689000;688300;688400;0
21.12.76;690500;691400;689800;691200;0
22.12.76;690800;691500;690000;690400;0
23.12.76;689500;690100;689000;689900;0
27.12.76;689800;690600;689800;690200;0
28.12.76;690900;691400;690200;690500;0
29.12.76;691200;691800;690900;691100;0
30.12.76;691500;692300;691400;691700;0
03.01.77;691500;692400;691300;692000;0
04.01.77;693000;693700;692300;692400;0
05.01.77;691000;691100;688800;689200;0
06.01.77;689300;689700;688800;689600;0
07.01.77;690000;690100;689000;689100;0
10.01.77;687700;687800;683500;683600;0
11.01.77;686100;687100;684600;686700;0
12.01.77;687000;687700;685800;687700;0
13.01.77;688300;689000;687700;688300;0
14.01.77;687800;688000;687200;687600;0
17.01.77;688000;689300;687600;688800;0
18.01.77;689100;689100;688300;688500;0
19.01.77;688900;689400;688600;689100;0
20.01.77;689700;689900;688800;689100;0
21.01.77;689200;689200;686900;688600;0
24.01.77;688600;689100;688200;688800;0
25.01.77;689800;690600;689600;690500;0
26.01.77;689000;689000;687500;687700;0
27.01.77;688700;688700;687000;687200;0
28.01.77;687200;688000;687100;687900;0
31.01.77;688300;689000;688200;689000;0
01.02.77;689000;689100;688800;688800;0
02.02.77;688500;689500;688200;689300;0
03.02.77;689500;689900;689000;689000;0
04.02.77;689000;689500;688800;689500;0
07.02.77;691300;692300;690800;691900;0
08.02.77;692000;692000;691000;691100;0
09.02.77;692500;693400;692400;692400;0
10.02.77;692000;692200;691400;691600;0
11.02.77;691200;692200;691100;692200;0
14.02.77;692500;693000;691800;691800;0
15.02.77;691800;691800;691500;691500;0
16.02.77;692200;692500;692100;692500;0
17.02.77;693100;693100;692400;693000;0
18.02.77;693300;693700;693000;693600;0
22.02.77;694700;695400;694300;695200;0
23.02.77;695600;697200;695300;696200;0
24.02.77;697200;698200;695900;697600;0
25.02.77;697000;698000;696300;697800;0
28.02.77;699700;701100;699300;700200;0
01.03.77;698500;699300;697800;699200;0
02.03.77;702000;703200;700300;703100;0
03.03.77;701700;702500;700700;701700;0
04.03.77;702200;704200;701600;703900;0
07.03.77;705400;706200;703900;703900;0
08.03.77;704600;705500;702300;703800;0
09.03.77;701900;703800;701800;703700;0
10.03.77;703400;704400;701900;702500;0
11.03.77;703000;703300;701400;701900;0
14.03.77;702200;702500;700700;701400;0
15.03.77;702600;704000;702300;703800;0
16.03.77;704200;705000;703300;704900;0
17.03.77;705100;706500;704600;706000;0
18.03.77;707200;707200;705800;706800;0
21.03.77;708700;709600;708000;709500;0
22.03.77;706700;707600;706600;706800;0
23.03.77;709200;713000;708800;709700;0
24.03.77;708800;709100;708200;708800;0
25.03.77;709900;710400;708800;709100;0
28.03.77;705700;707600;704900;705700;0
29.03.77;704200;704500;702300;704400;0
30.03.77;705400;706100;705000;705700;0
31.03.77;703700;705400;703500;705200;0
01.04.77;704700;706800;704200;706400;0
04.04.77;706500;706800;705200;705300;0
05.04.77;703800;704200;701500;701900;0
06.04.77;703700;704100;702700;703200;0
07.04.77;703800;704400;702800;703700;0
11.04.77;703800;705000;703800;704900;0
12.04.77;705400;705700;705100;705500;0
13.04.77;708700;708900;707000;708000;0
14.04.77;707900;707900;706800;707500;0
15.04.77;705800;707000;705700;706900;0
18.04.77;706500;707300;706200;706500;0
19.04.77;705500;706200;705300;705300;0
20.04.77;704800;704900;702200;703400;0
21.04.77;702900;704300;702900;704200;0
22.04.77;705400;705600;704000;704300;0
25.04.77;704200;704200;702500;702500;0
26.04.77;702200;702400;700300;700900;0
27.04.77;702400;702400;700500;701100;0
28.04.77;700700;701000;699000;700400;0
29.04.77;701000;702400;701000;702200;0
